Species,Data_source,Predictor,Distributional_range,Model_score
Platalea leucorodia,standardized,habitat-based,I,0.9
Plegadis falcinellus,standardized,climate-based,I,0.96
Plegadis falcinellus,standardized,combination,I,0.97
Plegadis falcinellus,standardized,habitat-based,I,0.96
Podiceps cristatus,standardized,climate-based,III,0.9
Podiceps cristatus,standardized,combination,III,0.89
Podiceps cristatus,standardized,habitat-based,III,0.85
Podiceps nigricollis,standardized,climate-based,II,0.92
Podiceps nigricollis,standardized,combination,II,0.91
Podiceps nigricollis,standardized,habitat-based,II,0.87
Poecile palustris,standardized,climate-based,II,0.99
Poecile palustris,standardized,combination,II,0.99
Poecile palustris,standardized,habitat-based,II,0.97
Porphyrio porphyrio,standardized,climate-based,II,0.95
Porphyrio porphyrio,standardized,combination,II,0.92
Porphyrio porphyrio,standardized,habitat-based,II,0.87
Porzana porzana,standardized,climate-based,I,0.99
Porzana porzana,standardized,combination,I,0.98
Porzana porzana,standardized,habitat-based,I,0.95
Porzana pusilla,standardized,climate-based,I,0.97
Porzana pusilla,standardized,combination,I,0.97
Porzana pusilla,standardized,habitat-based,I,0.98
